"id","country_id:id","name","code"
state_mn_1,mn,"Улаанбаатар","УБ"
state_mn_2,mn,"Архангай","АР"
state_mn_3,mn,"Баян-Өлгий","БӨ"
state_mn_4,mn,"Баянхонгор","БХ"
state_mn_5,mn,"Булган","БУ"
state_mn_6,mn,"Говь-Алтай","ГА"
state_mn_7,mn,"Говьсүмбэр","ГС"
state_mn_8,mn,"Дархан-Уул","ДА"
state_mn_9,mn,"Дорноговь","ДГ"
state_mn_10,mn,"Дорнод","ДО"
state_mn_11,mn,"Дундговь","ДУ"
state_mn_12,mn,"Завхан","ЗА"
state_mn_13,mn,"Орхон","ОР"
state_mn_14,mn,"Өвөрхангай","ӨВ"
state_mn_15,mn,"Өмнөговь","ӨМ"
state_mn_16,mn,"Сүхбаатар","СҮ"
state_mn_17,mn,"Сэлэнгэ","СЭ"
state_mn_18,mn,"Төв","ТӨ"
state_mn_19,mn,"Увс","УВ"
state_mn_20,mn,"Ховд","ХО"
state_mn_21,mn,"Хөвсгөл","ХӨ"
state_mn_22,mn,"Хэнтий","ХЭ"
